"date","annee","mois","jour","secteur","horaire","personnes_plage","personnes_eau","pmt","vaches","commentaires"
2020-07-29,2020,"juillet",29,"Lotu",09:00:00,1,2,NA,0,NA
2020-07-29,2020,"juillet",29,"Lotu",12:00:00,148,98,NA,0,NA
2020-07-29,2020,"juillet",29,"Lotu",14:45:00,209,197,NA,0,NA
2020-07-29,2020,"juillet",29,"Lotu",16:45:00,119,81,NA,0,NA
2020-07-29,2020,"juillet",29,"Saleccia",09:00:00,27,9,NA,0,NA
2020-07-29,2020,"juillet",29,"Saleccia",12:00:00,364,440,NA,0,NA
2020-07-29,2020,"juillet",29,"Saleccia",14:00:00,368,427,NA,0,NA
2020-07-29,2020,"juillet",29,"Saleccia",16:00:00,387,432,NA,0,NA
2020-08-13,2020,"août",13,"Lotu",09:00:00,9,10,NA,0,NA
2020-08-13,2020,"août",13,"Lotu",12:00:00,238,186,NA,0,NA
2020-08-13,2020,"août",13,"Lotu",14:45:00,316,266,NA,0,NA
2020-08-13,2020,"août",13,"Lotu",16:45:00,228,137,NA,0,NA
2020-08-13,2020,"août",13,"Saleccia",09:00:00,143,54,NA,0,"2 personnes ont signalé des déchers dans les dunes, infraction piétinements dunes et signalement eau verte"
2020-08-13,2020,"août",13,"Saleccia",12:00:00,639,301,NA,0,NA
2020-08-13,2020,"août",13,"Saleccia",14:00:00,649,505,NA,0,NA
2020-08-13,2020,"août",13,"Saleccia",16:00:00,576,438,NA,0,NA
2020-09-09,2020,"septembre",9,"Lotu",09:00:00,0,0,NA,0,NA
2020-09-09,2020,"septembre",9,"Lotu",12:00:00,133,53,NA,0,NA
2020-09-09,2020,"septembre",9,"Lotu",14:45:00,189,125,NA,0,NA
2020-09-09,2020,"septembre",9,"Lotu",16:45:00,141,38,NA,0,NA
2020-09-09,2020,"septembre",9,"Saleccia",09:00:00,3,1,NA,0,NA
2020-09-09,2020,"septembre",9,"Saleccia",12:00:00,258,94,NA,0,NA
2020-09-09,2020,"septembre",9,"Saleccia",14:00:00,380,139,NA,0,NA
2020-09-09,2020,"septembre",9,"Saleccia",16:00:00,301,102,NA,0,NA
2021-06-16,2021,"juin",16,"Lotu",09:00:00,11,0,0,15,NA
2021-06-16,2021,"juin",16,"Lotu",12:00:00,89,21,3,0,"21 personnes dans l'eau (dont 3 PMT)"
2021-06-16,2021,"juin",16,"Lotu",14:45:00,122,28,5,0,"28 personnes dans l'eau (dont 5 PMT)"
2021-06-16,2021,"juin",16,"Lotu",16:45:00,84,39,3,0,"39 personnes dans l'eau (dont 3 PMT)"
2021-06-16,2021,"juin",16,"Saleccia",09:00:00,5,0,0,0,"RAS"
2021-06-16,2021,"juin",16,"Saleccia",12:00:00,141,73,3,0,"73 personnes dans l'eau dont 3 PMT"
2021-06-16,2021,"juin",16,"Saleccia",14:00:00,181,81,4,0,"81 personnes dans l'eau dont 4 PMT"
2021-06-16,2021,"juin",16,"Saleccia",16:00:00,134,69,3,0,"69 personnes dans l'eau dont 3 PMT"
2021-07-28,2021,"juillet",28,"Lotu",09:00:00,6,13,1,0,NA
2021-07-28,2021,"juillet",28,"Lotu",12:00:00,329,115,15,0,NA
2021-07-28,2021,"juillet",28,"Lotu",14:45:00,370,185,31,0,NA
2021-07-28,2021,"juillet",28,"Lotu",16:45:00,201,112,4,0,NA
2021-07-28,2021,"juillet",28,"Saleccia",09:00:00,26,13,2,0,NA
2021-07-28,2021,"juillet",28,"Saleccia",12:00:00,478,248,22,0,NA
2021-07-28,2021,"juillet",28,"Saleccia",14:00:00,470,379,23,0,NA
2021-07-28,2021,"juillet",28,"Saleccia",16:00:00,462,420,9,0,NA
2021-08-18,2021,"août",18,"Lotu",09:00:00,42,24,0,7,NA
2021-08-18,2021,"août",18,"Lotu",12:00:00,501,145,9,0,NA
2021-08-18,2021,"août",18,"Lotu",14:45:00,707,205,17,0,NA
2021-08-18,2021,"août",18,"Lotu",16:45:00,535,110,12,0,NA
2021-08-18,2021,"août",18,"Saleccia",09:00:00,7,0,0,0,NA
2021-08-18,2021,"août",18,"Saleccia",12:00:00,504,186,16,0,NA
2021-08-18,2021,"août",18,"Saleccia",14:00:00,710,245,12,0,NA
2021-08-18,2021,"août",18,"Saleccia",16:00:00,589,182,7,0,NA
2021-09-02,2021,"septembre",2,"Lotu",09:00:00,0,0,0,3,NA
2021-09-02,2021,"septembre",2,"Lotu",12:00:00,154,35,4,0,NA
2021-09-02,2021,"septembre",2,"Lotu",14:45:00,380,30,4,0,NA
2021-09-02,2021,"septembre",2,"Lotu",16:45:00,190,17,3,0,NA
2021-09-02,2021,"septembre",2,"Saleccia",09:00:00,0,1,0,0,NA
2021-09-02,2021,"septembre",2,"Saleccia",12:00:00,260,45,9,2,NA
2021-09-02,2021,"septembre",2,"Saleccia",14:00:00,235,56,9,0,NA
2021-09-02,2021,"septembre",2,"Saleccia",16:00:00,121,14,5,0,NA
2022-06-21,2022,"juin",21,"Lotu",09:00:00,0,1,0,1,NA
2022-06-21,2022,"juin",21,"Lotu",12:00:00,52,31,1,0,NA
2022-06-21,2022,"juin",21,"Lotu",14:45:00,53,47,1,0,NA
2022-06-21,2022,"juin",21,"Lotu",16:45:00,52,20,0,0,NA
2022-06-21,2022,"juin",21,"Saleccia",09:00:00,9,2,0,0,NA
2022-06-21,2022,"juin",21,"Saleccia",12:00:00,271,33,10,0,NA
2022-06-21,2022,"juin",21,"Saleccia",14:00:00,300,78,8,0,NA
2022-06-21,2022,"juin",21,"Saleccia",16:00:00,110,55,3,0,NA
2022-07-28,2022,"juillet",28,"Lotu",09:00:00,8,6,0,0,NA
2022-07-28,2022,"juillet",28,"Lotu",12:00:00,133,63,21,0,NA
2022-07-28,2022,"juillet",28,"Lotu",14:45:00,179,231,36,3,NA
2022-07-28,2022,"juillet",28,"Lotu",16:45:00,134,104,15,0,NA
2022-07-28,2022,"juillet",28,"Saleccia",09:00:00,48,45,7,0,"Bcp de vagues"
2022-07-28,2022,"juillet",28,"Saleccia",12:00:00,525,224,17,0,"Jet attaché à la bouée du chenal"
2022-07-28,2022,"juillet",28,"Saleccia",14:00:00,643,315,21,0,NA
2022-07-28,2022,"juillet",28,"Saleccia",16:00:00,658,344,15,0,NA
2022-08-10,2022,"août",10,"Lotu",09:00:00,7,7,0,0,NA
